timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743886692406,624,HTTP Request,200,OK,Thread Group 1-6,text,true,,303,231,45,45,http://localhost:3216/transaction,624,0,6
1743886692386,646,HTTP Request,200,OK,Thread Group 1-39,text,true,,303,231,45,45,http://localhost:3203/transaction,646,0,3
1743886692390,663,HTTP Request,200,OK,Thread Group 1-23,text,true,,303,231,45,45,http://localhost:3060/transaction,663,0,8
1743886692449,619,HTTP Request,200,OK,Thread Group 1-2,text,true,,303,231,45,45,http://localhost:3061/transaction,619,0,2
1743886692579,489,HTTP Request,200,OK,Thread Group 1-16,text,true,,303,231,45,45,http://localhost:3038/transaction,489,0,1
1743886692584,488,HTTP Request,200,OK,Thread Group 1-41,text,true,,303,231,45,45,http://localhost:3143/transaction,488,0,2
1743886692587,501,HTTP Request,200,OK,Thread Group 1-12,text,true,,303,231,45,45,http://localhost:3198/transaction,501,0,1
1743886692599,500,HTTP Request,200,OK,Thread Group 1-15,text,true,,303,231,45,45,http://localhost:3003/transaction,500,0,1
1743886692316,793,HTTP Request,200,OK,Thread Group 1-14,text,true,,303,231,46,46,http://localhost:3202/transaction,793,0,0
1743886692399,713,HTTP Request,200,OK,Thread Group 1-8,text,true,,303,231,46,46,http://localhost:3202/transaction,713,0,12
1743886692608,524,HTTP Request,200,OK,Thread Group 1-3,text,true,,303,231,46,46,http://localhost:3150/transaction,524,0,1
1743886692608,526,HTTP Request,200,OK,Thread Group 1-17,text,true,,303,231,46,46,http://localhost:3150/transaction,526,0,1
1743886692620,542,HTTP Request,200,OK,Thread Group 1-35,text,true,,303,231,46,46,http://localhost:3123/transaction,542,0,0
1743886692358,812,HTTP Request,200,OK,Thread Group 1-21,text,true,,303,231,46,46,http://localhost:3193/transaction,812,0,4
1743886692399,776,HTTP Request,200,OK,Thread Group 1-11,text,true,,303,231,46,46,http://localhost:3124/transaction,776,0,4
1743886692360,824,HTTP Request,200,OK,Thread Group 1-10,text,true,,303,231,47,47,http://localhost:3231/transaction,824,0,7
1743886692385,808,HTTP Request,200,OK,Thread Group 1-29,text,true,,303,231,47,47,http://localhost:3156/transaction,808,0,3
1743886692416,781,HTTP Request,200,OK,Thread Group 1-31,text,true,,303,231,47,47,http://localhost:3251/transaction,781,0,8
1743886692589,610,HTTP Request,200,OK,Thread Group 1-26,text,true,,303,231,47,47,http://localhost:3186/transaction,610,0,1
1743886692485,719,HTTP Request,200,OK,Thread Group 1-27,text,true,,303,231,47,47,http://localhost:3147/transaction,719,0,4
1743886692392,818,HTTP Request,200,OK,Thread Group 1-19,text,true,,303,231,47,47,http://localhost:3119/transaction,818,0,10
1743886692650,560,HTTP Request,200,OK,Thread Group 1-4,text,true,,303,231,47,47,http://localhost:3251/transaction,560,0,2
1743886692685,538,HTTP Request,200,OK,Thread Group 1-42,text,true,,303,231,47,47,http://localhost:3176/transaction,538,0,1
1743886692452,787,HTTP Request,200,OK,Thread Group 1-20,text,true,,303,231,47,47,http://localhost:3097/transaction,787,0,1
1743886692488,757,HTTP Request,200,OK,Thread Group 1-40,text,true,,303,231,47,47,http://localhost:3049/transaction,757,0,1
1743886692539,709,HTTP Request,200,OK,Thread Group 1-24,text,true,,303,231,47,47,http://localhost:3025/transaction,709,0,6
1743886692650,626,HTTP Request,200,OK,Thread Group 1-9,text,true,,303,231,47,47,http://localhost:3108/transaction,626,0,2
1743886692612,670,HTTP Request,200,OK,Thread Group 1-22,text,true,,303,231,47,47,http://localhost:3049/transaction,670,0,1
1743886692618,736,HTTP Request,200,OK,Thread Group 1-33,text,true,,303,231,48,48,http://localhost:3022/transaction,736,0,1
1743886692793,588,HTTP Request,200,OK,Thread Group 1-37,text,true,,303,231,48,48,http://localhost:3143/transaction,588,0,0
1743886692727,657,HTTP Request,200,OK,Thread Group 1-34,text,true,,303,231,48,48,http://localhost:3246/transaction,657,0,1
1743886692817,592,HTTP Request,200,OK,Thread Group 1-13,text,true,,303,231,49,49,http://localhost:3194/transaction,592,0,1
1743886692783,638,HTTP Request,200,OK,Thread Group 1-43,text,true,,303,231,49,49,http://localhost:3128/transaction,638,0,1
1743886692765,658,HTTP Request,200,OK,Thread Group 1-18,text,true,,303,231,49,49,http://localhost:3129/transaction,658,0,1
1743886692789,684,HTTP Request,200,OK,Thread Group 1-36,text,true,,303,231,49,49,http://localhost:3142/transaction,684,0,3
1743886692872,632,HTTP Request,200,OK,Thread Group 1-28,text,true,,303,231,50,50,http://localhost:3210/transaction,632,0,2
1743886692885,643,HTTP Request,200,OK,Thread Group 1-44,text,true,,303,231,50,50,http://localhost:3154/transaction,643,0,0
1743886692824,734,HTTP Request,200,OK,Thread Group 1-38,text,true,,303,231,50,50,http://localhost:3013/transaction,734,0,1
1743886693018,690,HTTP Request,200,OK,Thread Group 1-5,text,true,,303,231,52,52,http://localhost:3167/transaction,690,0,0
1743886692983,729,HTTP Request,200,OK,Thread Group 1-7,text,true,,303,231,52,52,http://localhost:3182/transaction,729,0,1
1743886693015,710,HTTP Request,200,OK,Thread Group 1-25,text,true,,303,231,52,52,http://localhost:3143/transaction,710,0,3
1743886692985,757,HTTP Request,200,OK,Thread Group 1-45,text,true,,303,231,52,52,http://localhost:3148/transaction,756,0,0
1743886692969,775,HTTP Request,200,OK,Thread Group 1-30,text,true,,303,231,52,52,http://localhost:3106/transaction,775,0,0
1743886693032,742,HTTP Request,200,OK,Thread Group 1-6,text,true,,303,231,52,52,http://localhost:3061/transaction,742,0,4
1743886693036,740,HTTP Request,200,OK,Thread Group 1-39,text,true,,303,231,52,52,http://localhost:3216/transaction,740,0,2
1743886693069,711,HTTP Request,200,OK,Thread Group 1-2,text,true,,303,231,52,52,http://localhost:3129/transaction,711,0,0
1743886693100,688,HTTP Request,200,OK,Thread Group 1-15,text,true,,303,231,53,53,http://localhost:3234/transaction,688,0,4
1743886693014,780,HTTP Request,200,OK,Thread Group 1-1,text,true,,303,231,53,53,http://localhost:3071/transaction,780,0,3
1743886693003,811,HTTP Request,200,OK,Thread Group 1-32,text,true,,303,231,53,53,http://localhost:3240/transaction,811,0,1
1743886693110,724,HTTP Request,200,OK,Thread Group 1-14,text,true,,303,231,53,53,http://localhost:3216/transaction,724,0,1
1743886693113,746,HTTP Request,200,OK,Thread Group 1-8,text,true,,303,231,53,53,http://localhost:3071/transaction,746,0,2
1743886693054,818,HTTP Request,200,OK,Thread Group 1-23,text,true,,303,231,53,53,http://localhost:3100/transaction,818,0,0
1743886693134,752,HTTP Request,200,OK,Thread Group 1-3,text,true,,303,231,54,54,http://localhost:3038/transaction,752,0,2
1743886693106,787,HTTP Request,200,OK,Thread Group 1-46,text,true,,303,231,54,54,http://localhost:3161/transaction,787,0,1
1743886693076,827,HTTP Request,200,OK,Thread Group 1-41,text,true,,303,231,54,54,http://localhost:3165/transaction,827,0,2
1743886693069,848,HTTP Request,200,OK,Thread Group 1-16,text,true,,303,231,54,54,http://localhost:3110/transaction,848,0,1
1743886693089,830,HTTP Request,200,OK,Thread Group 1-12,text,true,,303,231,54,54,http://localhost:3241/transaction,830,0,0
1743886693135,789,HTTP Request,200,OK,Thread Group 1-17,text,true,,303,231,54,54,http://localhost:3175/transaction,789,0,1
1743886693177,753,HTTP Request,200,OK,Thread Group 1-11,text,true,,303,231,54,54,http://localhost:3099/transaction,753,0,0
1743886693184,759,HTTP Request,200,OK,Thread Group 1-47,text,true,,303,231,54,54,http://localhost:3023/transaction,759,0,0
1743886693194,759,HTTP Request,200,OK,Thread Group 1-29,text,true,,303,231,54,54,http://localhost:3177/transaction,759,0,1
1743886693205,750,HTTP Request,200,OK,Thread Group 1-27,text,true,,303,231,54,54,http://localhost:3198/transaction,750,0,1
1743886693211,745,HTTP Request,200,OK,Thread Group 1-19,text,true,,303,231,54,54,http://localhost:3046/transaction,745,0,0
1743886693246,726,HTTP Request,200,OK,Thread Group 1-40,text,true,,303,231,54,54,http://localhost:3135/transaction,726,0,2
1743886693283,690,HTTP Request,200,OK,Thread Group 1-22,text,true,,303,231,54,54,http://localhost:3252/transaction,690,0,0
1743886693162,828,HTTP Request,200,OK,Thread Group 1-35,text,true,,303,231,55,55,http://localhost:3242/transaction,828,0,1
1743886693241,760,HTTP Request,200,OK,Thread Group 1-20,text,true,,303,231,55,55,http://localhost:3121/transaction,760,0,3
1743886693211,808,HTTP Request,200,OK,Thread Group 1-4,text,true,,303,231,55,55,http://localhost:3043/transaction,808,0,0
1743886693185,837,HTTP Request,200,OK,Thread Group 1-10,text,true,,303,231,55,55,http://localhost:3019/transaction,837,0,0
1743886693224,803,HTTP Request,200,OK,Thread Group 1-42,text,true,,303,231,55,55,http://localhost:3215/transaction,803,0,0
1743886693170,859,HTTP Request,200,OK,Thread Group 1-21,text,true,,303,231,55,55,http://localhost:3189/transaction,859,0,1
1743886693200,839,HTTP Request,200,OK,Thread Group 1-26,text,true,,303,231,55,55,http://localhost:3163/transaction,839,0,0
1743886693277,762,HTTP Request,200,OK,Thread Group 1-9,text,true,,303,231,55,55,http://localhost:3030/transaction,762,0,1
